search_query,href,title
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/dulux-weathershield-protect-interior-paint-20858625997.html?pos=4&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=3,Dulux Weathershield Protect Interior Paint
Weather-Resistant Finishes,https://www.indiamart.com/ushatraders/?pos=4&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,Usha Traders
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/asian-ace-sparc-exterior-emulsion-paint-2851591658391.html?pos=5&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,"Asian Ace Sparc Exterior Emulsion Paint, 4 ltr"
Weather-Resistant Finishes,https://www.indiamart.com/kgelectricalshardwares/?pos=5&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/berger-weather-coat-antidust-exterior-emulsion-paint-2854120873833.html?pos=6&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=4,
Weather-Resistant Finishes,https://www.indiamart.com/hindustantraders-tamilnadu/?pos=6&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/berger-weather-coat-glow-24876020973.html?pos=7&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/sree-vasavi-paints/?pos=7&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/berger-weathercoat-floor-protector-paint-27526280155.html?pos=8&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=4,
Weather-Resistant Finishes,https://www.indiamart.com/sashti-traders-tamilnadu/?pos=8&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,
